	ID	KO	N_control	N_disease	AveExpr_control	AveExpr_disease	FC	P.Value
K03804	K03804	K03804: chromosome partition protein MukE	72	14	3.95E-05	9.17E-05	2.320041868	0.082367853
K06934	K06934	K06934: NO_NAME	72	14	0.000361594	0.000247623	0.684809998	0.082367853
K05337	K05337	K05337: ferredoxin	72	14	6.39E-05	2.38E-05	0.371567555	0.083405295
K02519	K02519	K02519: translation initiation factor IF-2	72	14	0.000344798	0.000265153	0.769009834	0.083405295
K08153	K08153	"K08153: MFS transporter, DHA1 family, multidrug resistance protein"	72	14	2.56E-06	2.25E-06	0.880544294	0.083405295
K02653	K02653	K02653: type IV pilus assembly protein PilC	72	14	0.000268595	0.000176108	0.655663576	0.083405295
K04032	K04032	K04032: ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17]	72	14	1.99E-05	3.78E-05	1.89969229	0.083405295
K04773	K04773	K04773: protease IV	72	14	0.000345161	0.000589105	1.706753469	0.083405295
K03498	K03498	K03498: trk system potassium uptake protein TrkH	72	14	0.0013136	0.001051647	0.80058351	0.083405295
K09458	K09458	K09458: 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	72	14	0.000759987	0.00049996	0.657852797	0.083405295
K03503	K03503	K03503: DNA polymerase V	72	14	0.000165296	0.000578227	3.498142658	0.083405295
K00757	K00757	K00757: uridine phosphorylase [EC:2.4.2.3]	72	14	0.000262934	0.000203953	0.775682343	0.083405295
K03624	K03624	K03624: transcription elongation factor GreA	72	14	0.001128226	0.000952698	0.844421818	0.083405295
K11732	K11732	K11732: phenylalanine-specific permease	72	14	5.88E-05	0.000127528	2.169553509	0.083405295
K10797	K10797	K10797: 2-enoate reductase [EC:1.3.1.31]	72	14	5.95E-06	3.22E-06	0.540888214	0.083405295
K07337	K07337	K07337: hypothetical protein	72	14	5.23E-05	9.55E-05	1.827107818	0.083405295
K08289	K08289	K08289: phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]	72	14	0.000524608	0.000705949	1.345668212	0.083405295
K00847	K00847	K00847: fructokinase [EC:2.7.1.4]	72	14	0.001143563	0.000939945	0.821944934	0.083405295
K10680	K10680	K10680: N-ethylmaleimide reductase [EC:1.-.-.-]	72	14	5.83E-05	0.000155149	2.663204399	0.083405295
K19123	K19123	K19123: NO_NAME	72	14	3.41E-05	2.60E-05	0.762409271	0.083405295
K04087	K04087	K04087: membrane protease subunit HflC	72	14	7.66E-05	0.000144855	1.890398045	0.084453295
K12372	K12372	K12372: dipeptide transport system ATP-binding protein	72	14	5.81E-05	0.00010826	1.861870622	0.084453295
K03196	K03196	K03196: type IV secretion system protein VirB11	72	14	1.40E-05	0.000125793	8.983358516	0.084453295
K07000	K07000	K07000: NO_NAME	72	14	0.000125576	0.000263202	2.095962023	0.084453295
K01719	K01719	K01719: uroporphyrinogen-III synthase [EC:4.2.1.75]	72	14	0.000446222	0.000628121	1.407642914	0.085511926
K07052	K07052	K07052: NO_NAME	72	14	0.000972197	0.000660852	0.679751268	0.085511926
K11923	K11923	"K11923: MerR family transcriptional regulator, copper efflux regulator"	72	14	4.18E-05	0.000100244	2.39842342	0.085511926
K18657	K18657	K18657: NO_NAME	72	14	5.37E-05	0.000102893	1.91772522	0.085511926
K07686	K07686	"K07686: two-component system, NarL family, uhpT operon response regulator UhpA"	72	14	4.70E-05	9.64E-05	2.053747464	0.085511926
K02467	K02467	K02467: GutQ protein	72	14	3.25E-05	7.58E-05	2.330057058	0.085511926
K03563	K03563	K03563: carbon storage regulator	72	14	0.00046076	0.000354107	0.768528595	0.085511926
K02558	K02558	K02558: UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate	72	14	0.00014795	0.000239797	1.620795731	0.085511926
K09823	K09823	"K09823: Fur family transcriptional regulator, zinc uptake regulator"	72	14	9.48E-05	0.000211606	2.232937598	0.085511926
K13896	K13896	K13896: microcin C transport system ATP-binding protein	72	14	5.60E-05	0.000102038	1.821518909	0.085511926
K00652	K00652	K00652: 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	72	14	0.000326298	0.000501158	1.535889503	0.085511926
K13891	K13891	K13891: glutathione transport system permease protein	72	14	4.21E-05	0.000101393	2.40601712	0.085511926
K09925	K09925	K09925: hypothetical protein	72	14	2.74E-05	5.21E-05	1.900132924	0.086581257
K13631	K13631	K13631: NO_NAME	72	14	4.81E-05	7.28E-05	1.514509208	0.086581257
K03673	K03673	K03673: thiol:disulfide interchange protein DsbA	72	14	0.00011463	0.00020625	1.799263946	0.086581257
K03609	K03609	K03609: septum site-determining protein MinD	72	14	0.000280255	0.000201824	0.720146354	0.08766136
K12152	K12152	K12152: phosphatase NudJ	72	14	4.39E-05	9.45E-05	2.15151983	0.08766136
K10012	K10012	K10012: undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]	72	14	5.63E-05	0.00010176	1.806744506	0.08766136
K07402	K07402	K07402: xanthine dehydrogenase accessory factor	72	14	0.000348424	0.000270887	0.777461703	0.08766136
K07287	K07287	K07287: lipoprotein-34	72	14	3.20E-05	6.77E-05	2.116400588	0.08766136
K00758	K00758	K00758: thymidine phosphorylase [EC:2.4.2.4]	72	14	3.34E-05	5.98E-05	1.791720605	0.08766136
K06960	K06960	K06960: NO_NAME	72	14	0.000508537	0.000390525	0.767939442	0.08766136
K07236	K07236	K07236: tRNA 2-thiouridine synthesizing protein C	72	14	8.54E-05	0.00017919	2.098765794	0.08766136
K03326	K03326	"K03326: C4-dicarboxylate transporter, DcuC family"	72	14	9.17E-05	0.00022673	2.472939702	0.08766136
K01420	K01420	"K01420: CRP/FNR family transcriptional regulator, anaerobic regulatory"	72	14	0.00044312	0.000334727	0.755384971	0.08766136
K07673	K07673	"K07673: two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]"	72	14	3.37E-05	7.41E-05	2.19680456	0.08766136
K01699	K01699	K01699: propanediol dehydratase large subunit [EC:4.2.1.28]	72	14	2.21E-05	0.00011716	5.30454106	0.08766136
K00344	K00344	K00344: NADPH2:quinone reductase	72	14	4.61E-05	9.64E-05	2.091372956	0.08766136
K08172	K08172	"K08172: MFS transporter, MHS family, shikimate and dehydroshikimate"	72	14	3.67E-05	8.46E-05	2.307951027	0.08766136
K11075	K11075	K11075: putrescine transport system permease protein	72	14	5.54E-05	0.000123285	2.223951413	0.08766136
K03181	K03181	K03181: chorismate--pyruvate lyase [EC:4.1.3.40]	72	14	6.14E-05	0.000131817	2.145325124	0.08766136
K08307	K08307	K08307: membrane-bound lytic murein transglycosylase D	72	14	0.000241951	0.000329597	1.362245705	0.08766136
K02560	K02560	K02560: lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]	72	14	5.74E-05	0.000104517	1.821372548	0.08766136
K14054	K14054	K14054: NO_NAME	72	14	4.94E-05	8.48E-05	1.714981183	0.088752306
K03683	K03683	K03683: ribonuclease T	72	14	5.55E-05	0.000101371	1.827364854	0.088752306
K12368	K12368	K12368: dipeptide transport system substrate-binding protein	72	14	8.63E-05	0.000153868	1.78252693	0.088752306
K03078	K03078	K03078: 3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]	72	14	4.86E-05	0.000100723	2.073835131	0.089854167
K02742	K02742	K02742: SprT protein	72	14	5.49E-05	0.000136028	2.479062481	0.089854167
K13888	K13888	K13888: NO_NAME	72	14	6.56E-05	0.000147152	2.241728744	0.089854167
K02112	K02112	K02112: F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]	72	14	0.001406679	0.001146047	0.814718383	0.089854167
K03555	K03555	K03555: DNA mismatch repair protein MutS	72	14	0.000148224	9.42E-05	0.635559544	0.089854167
K07665	K07665	"K07665: two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"	72	14	6.50E-05	0.000174055	2.676947568	0.089854167
K09021	K09021	K09021: aminoacrylate peracid reductase	72	14	4.88E-05	9.86E-05	2.022260581	0.089854167
K03970	K03970	K03970: phage shock protein B	72	14	4.32E-05	8.84E-05	2.048884995	0.089854167
K03313	K03313	"K03313: Na+:H+ antiporter, NhaA family"	72	14	0.000298064	0.000485423	1.62858463	0.089854167
K19119	K19119	K19119: NO_NAME	72	14	0.000107133	5.58E-05	0.520968811	0.090967013
K03712	K03712	K03712: MarR family transcriptional regulator	72	14	5.39E-05	9.03E-05	1.672917327	0.090967013
K02817	K02817	"K02817: PTS system, trehalose-specific IIA component [EC:2.7.1.201]"	72	14	1.34E-05	2.48E-05	1.856396755	0.092090916
K02757	K02757	"K02757: PTS system, beta-glucoside-specific IIC component"	72	14	0.000298742	0.000205776	0.68881064	0.092090916
K07109	K07109	K07109: NO_NAME	72	14	9.98E-05	0.000187512	1.878986849	0.092090916
K02756	K02756	"K02756: PTS system, beta-glucoside-specific IIB component [EC:2.7.1.-]"	72	14	0.000298683	0.000205776	0.688945166	0.092090916
K01704	K01704	K01704: 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	72	14	0.000940568	0.000775375	0.824368699	0.092090916
K08659	K08659	K08659: dipeptidase A	72	14	0.000134283	0.000136467	1.016258168	0.092090916
K07235	K07235	K07235: tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]	72	14	7.82E-05	0.000157206	2.009125685	0.092090916
K11744	K11744	K11744: AI-2 transport protein TqsA	72	14	9.47E-05	0.000159528	1.684777392	0.092090916
K07803	K07803	K07803: zinc resistance-associated protein	72	14	4.33E-05	0.000142939	3.297542166	0.092090916
K14058	K14058	K14058: NO_NAME	72	14	7.62E-05	0.000201525	2.645293327	0.092090916
K03603	K03603	"K03603: GntR family transcriptional regulator, negative regulator for fad"	72	14	6.73E-05	0.000118057	1.75436576	0.092090916
K00137	K00137	K00137: aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	72	14	3.41E-05	9.95E-05	2.914757327	0.092090916
K02411	K02411	K02411: flagellar assembly protein FliH	72	14	0.000151806	0.000111672	0.735624094	0.092090916
K03829	K03829	K03829: putative acetyltransferase	72	14	9.53E-06	5.82E-05	6.109114119	0.092090916
K01305	K01305	K01305: beta-aspartyl-peptidase	72	14	0.000152351	0.000101111	0.66366989	0.092090916
K05568	K05568	K05568: multicomponent Na+:H+ antiporter subunit D	72	14	6.49E-06	3.05E-06	0.470934846	0.092090916
K00090	K00090	K00090: gluconate 2-dehydrogenase [EC:1.1.1.215]	72	14	6.23E-05	0.000122116	1.961209147	0.092090916
K16074	K16074	K16074: NO_NAME	72	14	1.81E-05	3.77E-05	2.084845073	0.092090916
K02255	K02255	K02255: ferritin-like protein 2	72	14	4.88E-05	0.000110115	2.256722926	0.092090916
K03184	K03184	"K03184: 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase [EC:1.14.13.-]"	72	14	3.46E-05	8.84E-05	2.554462515	0.093225946
K03974	K03974	K03974: psp operon transcriptional activator	72	14	3.80E-05	7.29E-05	1.917596171	0.093225946
K06899	K06899	K06899: NO_NAME	72	14	6.21E-05	0.000110903	1.785089094	0.093225946
K19048	K19048	K19048: NO_NAME	72	14	2.39E-05	4.64E-05	1.941930452	0.093225946
K11604	K11604	K11604: manganese/iron transport system substrate-binding protein	72	14	4.62E-05	0.000135025	2.921588171	0.094372175
K01190	K01190	K01190: beta-galactosidase [EC:3.2.1.23]	72	14	0.001073837	0.000882587	0.821900963	0.094372175
K18140	K18140	K18140: NO_NAME	72	14	6.16E-05	0.000167618	2.722404218	0.094372175
K10824	K10824	K10824: nickel transport system ATP-binding protein [EC:3.6.3.24]	72	14	4.89E-05	7.11E-05	1.452619828	0.094372175
K15735	K15735	K15735: NO_NAME	72	14	4.28E-05	8.74E-05	2.039474153	0.094372175
K02587	K02587	K02587: nitrogenase molybdenum-cofactor synthesis protein NifE	72	14	4.33E-05	1.89E-05	0.436934672	0.094372175
K07035	K07035	K07035: NO_NAME	72	14	3.89E-05	2.52E-05	0.647615791	0.094372175
K03327	K03327	"K03327: multidrug resistance protein, MATE family"	72	14	0.000340956	0.000444797	1.304557921	0.094372175
K02083	K02083	K02083: allantoate deiminase [EC:3.5.3.9]	72	14	5.04E-05	2.76E-05	0.547438106	0.094372175
K01096	K01096	K01096: phosphatidylglycerophosphatase B [EC:3.1.3.27 3.1.3.81 3.1.3.4 3.6.1.27]	72	14	4.65E-05	8.87E-05	1.906293938	0.094372175
K09923	K09923	K09923: hypothetical protein	72	14	4.86E-05	8.58E-05	1.76429985	0.094372175
K04091	K04091	K04091: alkanesulfonate monooxygenase [EC:1.14.14.5]	72	14	2.73E-05	9.07E-05	3.318401505	0.094372175
K15256	K15256	K15256: NO_NAME	72	14	4.60E-05	8.30E-05	1.804416312	0.094372175
K04043	K04043	K04043: molecular chaperone DnaK	72	14	0.000891726	0.000644973	0.723286054	0.094372175
K12944	K12944	K12944: NO_NAME	72	14	3.88E-05	8.97E-05	2.309233009	0.095529674
K07397	K07397	K07397: putative redox protein	72	14	8.52E-05	0.000161956	1.899810554	0.095529674
K19227	K19227	K19227: cationic peptide transport system permease protein	72	14	6.81E-05	0.000122661	1.801057132	0.096698513
K03625	K03625	K03625: N utilization substance protein B	72	14	0.000446093	0.000322294	0.722481996	0.096698513
K16789	K16789	K16789: NO_NAME	72	14	0.000130945	8.03E-05	0.612872982	0.096698513
K00101	K00101	K00101: L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	72	14	5.05E-05	0.000108009	2.139100382	0.096698513
K06166	K06166	K06166: alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]	72	14	3.63E-05	0.000113114	3.11308489	0.096698513
K07264	K07264	K07264: 4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]	72	14	6.92E-05	0.000149674	2.163142184	0.096698513
K01548	K01548	K01548: K+-transporting ATPase ATPase C chain [EC:3.6.3.12]	72	14	0.000279504	0.000429815	1.537776436	0.096698513
K06408	K06408	K06408: stage V sporulation protein AF	72	14	3.81E-05	3.42E-05	0.898623265	0.096698513
K04029	K04029	K04029: ethanolamine utilization protein EutP	72	14	0.000104293	0.000188654	1.808878737	0.096698513
K02355	K02355	K02355: elongation factor EF-G	72	14	0.000575342	0.000480861	0.835783385	0.096698513
K13892	K13892	K13892: glutathione transport system ATP-binding protein	72	14	6.13E-05	0.000135215	2.205143605	0.096698513
K08590	K08590	K08590: 2-oxoglutaramate amidase [EC:3.5.1.111]	72	14	0.000129317	0.000272239	2.105213212	0.096698513
K10038	K10038	K10038: glutamine transport system ATP-binding protein [EC:3.6.3.-]	72	14	3.85E-05	7.79E-05	2.02172006	0.096698513
K02345	K02345	K02345: DNA polymerase III subunit theta [EC:2.7.7.7]	72	14	7.63E-06	2.08E-05	2.724079893	0.096698513
K01914	K01914	K01914: aspartate--ammonia ligase [EC:6.3.1.1]	72	14	0.000508564	0.000392417	0.77161848	0.096698513
K11216	K11216	K11216: autoinducer 2 (AI-2) kinase	72	14	1.50E-05	7.11E-05	4.746583481	0.096698513
K15539	K15539	K15539: NO_NAME	72	14	3.33E-05	4.99E-05	1.497839012	0.097878763
K03973	K03973	K03973: phage shock protein C	72	14	4.26E-05	9.83E-05	2.30790568	0.097878763
K04752	K04752	K04752: nitrogen regulatory protein P-II 2	72	14	5.67E-05	0.000106542	1.879585534	0.097878763
K04082	K04082	K04082: molecular chaperone HscB	72	14	6.94E-05	0.000145802	2.099732927	0.097878763
K16136	K16136	K16136: NO_NAME	72	14	3.60E-05	7.97E-05	2.216821681	0.097878763
K06193	K06193	K06193: PhnA protein	72	14	6.03E-05	0.000123487	2.048584036	0.097878763
K03574	K03574	"K03574: 7,8-dihydro-8-oxoguanine triphosphatase"	72	14	0.000846911	0.000664758	0.784920659	0.099070494
K02755	K02755	"K02755: PTS system, beta-glucoside-specific IIA component [EC:2.7.1.-]"	72	14	0.000300944	0.00020697	0.687738247	0.099070494
K08234	K08234	K08234: glyoxylase I family protein	72	14	0.000397462	0.000267758	0.673670359	0.099070494
K18231	K18231	K18231: macrolide transport system ATP-binding/permease protein	72	14	5.93E-05	6.89E-05	1.1634795	0.099070494
K06079	K06079	K06079: copper homeostasis protein (lipoprotein)	72	14	0.000163276	0.000235823	1.444324388	0.099070494
K03469	K03469	K03469: ribonuclease HI [EC:3.1.26.4]	72	14	0.00043187	0.000350792	0.812263403	0.099070494
K09002	K09002	K09002: hypothetical protein	72	14	1.42E-05	1.24E-05	0.869221354	0.099070494
K12660	K12660	K12660: 2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]	72	14	4.52E-05	8.45E-05	1.871700109	0.099070494
K07232	K07232	K07232: cation transport protein ChaC	72	14	4.00E-05	9.11E-05	2.276619763	0.099070494
K04063	K04063	K04063: osmotically inducible protein OsmC	72	14	6.12E-05	0.000113623	1.855082435	0.099070494
K05807	K05807	K05807: putative lipoprotein	72	14	0.000455408	0.000656403	1.441351001	0.099070494
K01738	K01738	K01738: cysteine synthase A [EC:2.5.1.47]	72	14	0.001120158	0.000913891	0.815859278	0.099070494
K06925	K06925	K06925: NO_NAME	72	14	0.00051387	0.000398643	0.775765471	0.099070494
K01911	K01911	K01911: O-succinylbenzoic acid--CoA ligase [EC:6.2.1.26]	72	14	0.000106697	0.000167652	1.571282931	0.099070494
K05522	K05522	K05522: endonuclease VIII [EC:3.2.2.- 4.2.99.18]	72	14	5.10E-05	9.84E-05	1.929317934	0.099070494
K02554	K02554	K02554: 2-keto-4-pentenoate hydratase [EC:4.2.1.80]	72	14	4.53E-05	9.61E-05	2.121176226	0.099070494
K03272	K03272	K03272: D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	72	14	0.000117128	0.000182435	1.557569058	0.099070494
K01595	K01595	K01595: phosphoenolpyruvate carboxylase [EC:4.1.1.31]	72	14	1.48E-06	2.22E-07	0.150363618	0.099070494
K02037	K02037	K02037: phosphate transport system permease protein	72	14	0.000528005	0.000399491	0.756604856	0.099070494
K00832	K00832	K00832: aromatic-amino-acid transaminase [EC:2.6.1.57]	72	14	9.48E-05	0.000117854	1.243330237	0.099070494
K00769	K00769	K00769: xanthine phosphoribosyltransferase [EC:2.4.2.22]	72	14	4.21E-05	0.000116522	2.768723484	0.099070494
K19238	K19238	K19238: signal transduction protein PmrD	72	14	5.13E-05	0.000100678	1.963345325	0.100273778
K05341	K05341	K05341: amylosucrase [EC:2.4.1.4]	72	14	0.000143855	9.25E-05	0.643079379	0.100273778
K05982	K05982	K05982: deoxyribonuclease V	72	14	2.53E-05	8.17E-05	3.235156569	0.100273778
K03554	K03554	K03554: recombination associated protein RdgC	72	14	3.37E-05	6.97E-05	2.065964219	0.101488684
K00598	K00598	K00598: trans-aconitate 2-methyltransferase	72	14	4.88E-05	9.49E-05	1.945784732	0.101488684
K02047	K02047	K02047: sulfate transport system permease protein	72	14	0.000284527	0.000185447	0.651772275	0.101488684
K18217	K18217	"K18217: ATP-binding cassette, subfamily B, tetracycline resistant protein"	72	14	1.38E-05	1.91E-05	1.389027437	0.101488684
K08151	K08151	"K08151: MFS transporter, DHA1 family, tetracycline resistance protein"	72	14	1.19E-05	4.67E-05	3.913923023	0.101488684
K07798	K07798	"K07798: membrane fusion protein, Cu(I)/Ag(I) efflux system"	72	14	6.57E-05	0.000185358	2.819612044	0.101488684
K07708	K07708	"K07708: two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"	72	14	5.70E-05	0.00011946	2.09453654	0.101488684
K07305	K07305	K07305: peptide-methionine (R)-S-oxide reductase	72	14	6.91E-05	0.000249986	3.617489669	0.101488684
K19335	K19335	K19335: NO_NAME	72	14	5.61E-05	0.000142826	2.547549687	0.101488684
K02029	K02029	K02029: polar amino acid transport system permease protein	72	14	0.001078808	0.000772707	0.71626031	0.101488684
K00712	K00712	K00712: poly(glycerol-phosphate) alpha-glucosyltransferase	72	14	1.53E-06	1.42E-06	0.92620754	0.101488684
K15034	K15034	K15034: NO_NAME	72	14	5.49E-05	0.000138426	2.520783088	0.101488684
K00325	K00325	K00325: NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]	72	14	5.42E-05	0.000110299	2.033613311	0.101488684
K05834	K05834	K05834: homoserine/homoserine lactone efflux protein	72	14	6.29E-05	0.00013664	2.170921919	0.102715284
K03749	K03749	K03749: DedD protein	72	14	4.37E-05	9.27E-05	2.121562133	0.102715284
